x,Curve1
1.361652,11.918
1.369853,16.519
1.376676,23.779
1.382576,36.239
1.387102,55.21
1.391168,85.72
1.395692,133.11
1.399758,206.68
1.403364,327.06
1.406972,507.75
1.410559,936
1.413706,1481
1.416396,2343
1.419086,3706.9
1.422692,5866
1.42998,7975
1.440969,7996
1.451947,8820
1.462929,9364
1.473914,9754
1.485354,10358
1.496341,10585
1.507323,11239
1.518763,11934
1.52975,12196
1.540734,12704
1.552177,13235
1.563162,13786
1.574146,14360
1.585133,14676
1.59612,14998
